ID,gene,cell
ECOAH9mNeuron,3030,Neuron
ECOAH9mNeuron,1892,Neuron
ECOAH9mNeuron,3030,Neuron
ECOAH9mNeuron,3032,Neuron
ECOAH9mNeuron,1892,Neuron
EHGLAT2mNeuron,2806,Neuron
EHGLAT2mNeuron,2806,Neuron
EHGLATmNeuron,2806,Neuron
EHGLATmNeuron,2806,Neuron
ETFNeuron,2109,Neuron
ETFNeuron,2109,Neuron
ETFNeuron,2108,Neuron
ETFNeuron,2110,Neuron
ETFNeuron,2168,Neuron
ETFNeuron,2109,Neuron
ETFNeuron,2108,Neuron
ETFQONeuron,2109,Neuron
ETFQONeuron,2109,Neuron
ETFQONeuron,2108,Neuron
ETFQONeuron,2110,Neuron
ETFQONeuron,2168,Neuron
ETFQONeuron,2110,Neuron
ETFQONeuron,2110,Neuron
ETFQONeuron,2110,Neuron
ETOHMONeuron,1571,Neuron
ETOHMONeuron,1571,Neuron
ETOHtNeuron,,Neuron
FALDtmNeuron,,Neuron
FCLTmNeuron,2235,Neuron
FCLTmNeuron,2235,Neuron
FCLTmNeuron,2235,Neuron
FE2tmNeuron,,Neuron
FE2tmNeuron,,Neuron
FORt2mNeuron,,Neuron
FPGS2mNeuron,2356,Neuron
FPGS2mNeuron,2356,Neuron
FPGS2mNeuron,2356,Neuron
FPGS2mNeuron,2356,Neuron
FPGS2mNeuron,2356,Neuron
FPGS2mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS3mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS4mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS5mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS6mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS7mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS8mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGS9mNeuron,2356,Neuron
FPGSmNeuron,2356,Neuron
FPGSmNeuron,2356,Neuron
FPGSmNeuron,2356,Neuron
FPGSmNeuron,2356,Neuron
FTHFLmNeuron,25902,Neuron
FTHFLmNeuron,4522,Neuron
FTHFLmNeuron,25902,Neuron
FTHFLmNeuron,4363,Neuron
FTHFLmNeuron,6573,Neuron
FTHFLmNeuron,6573,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2348,Neuron
FTHFLmNeuron,2352,Neuron
FTHFLmNeuron,1244,Neuron
FTHFLmNeuron,10257,Neuron
FTHFLmNeuron,10840,Neuron
FTHFLmNeuron,160428,Neuron
FTHFLmNeuron,25902,Neuron
FTHFLmNeuron,4522,Neuron
FTHFLmNeuron,2618,Neuron
FTHFLmNeuron,2618,Neuron
FTHFLmNeuron,8836,Neuron
FTHFLmNeuron,5244,Neuron
FTHFLmNeuron,10588,Neuron
FTHFLmNeuron,10057,Neuron
FTHFLmNeuron,113235,Neuron
FTHFLmNeuron,1080,Neuron
FTHFLmNeuron,85320,Neuron
FTHFLmNeuron,9429,Neuron
FTHFLmNeuron,2350,Neuron
FTHFLmNeuron,286297,Neuron
FTHFLmNeuron,25902,Neuron
FTHFLmNeuron,25902,Neuron
FTHFLmNeuron,4522,Neuron
FTHFLmNeuron,286297,Neuron
FTHFLmNeuron,25902,Neuron
FUMSO3tmNeuron,1468,Neuron
FUMSO3tmNeuron,1468,Neuron
FUMSO3tmNeuron,1468,Neuron
FUMSO3tmNeuron,2184,Neuron
FUMSO3tmNeuron,2271,Neuron
FUMSO3tmNeuron,1468,Neuron
FUMSO4tmNeuron,1468,Neuron
FUMSO4tmNeuron,1468,Neuron
FUMSO4tmNeuron,1468,Neuron
FUMSO4tmNeuron,2184,Neuron
FUMSO4tmNeuron,2271,Neuron
FUMSO4tmNeuron,1468,Neuron
FUMTSULtmNeuron,1468,Neuron
FUMTSULtmNeuron,1468,Neuron
FUMTSULtmNeuron,1468,Neuron
FUMTSULtmNeuron,2184,Neuron
FUMTSULtmNeuron,2271,Neuron
FUMTSULtmNeuron,1468,Neuron
